# ra 0.00000000000000000e+00 dec -8.52729075788638369e+01 rotSkyPos 1.18434959915902198e+02 MJD(TAI) 5.97253712509999968e+04
# id xmm ymm xpup ypup ra_obs dec_obs
93 -2.65371161922631018e+02 -1.77636289467478434e+02 -2.57083547605445710e-02 -1.72088659328708642e-02 2.19142815250066683e+01 -8.57958300484645093e+01
94 -2.45645078274563247e+02 -1.59747740137802879e+02 -2.38006734186625782e-02 -1.54780377408560259e-02 1.99025490474383417e+01 -8.57996973680398582e+01
95 -2.49635068819197500e+02 -1.63450303891641823e+02 -2.41866007197732262e-02 -1.58363456562907318e-02 2.03140186519143633e+01 -8.57989806108058986e+01
96 -2.60781677751156224e+02 -1.63632559873258543e+02 -2.52653132971259291e-02 -1.58532145603939544e-02 2.09620177323260322e+01 -8.58387694575556282e+01
97 -2.49325575436167952e+02 -1.84255842776368581e+02 -2.41551332507027698e-02 -1.78510544965058797e-02 2.13139850737302368e+01 -8.57104686250198711e+01
98 -2.45933359810799885e+02 -1.60117042196346375e+02 -2.38285515139244897e-02 -1.55137846738973156e-02 1.99374050664492515e+01 -8.57992309337911792e+01
99 -2.38460983286093381e+02 -1.69919669821018772e+02 -2.31046278187372021e-02 -1.64636188117500901e-02 2.00075033858285920e+01 -8.57310288347133564e+01
100 -2.53607389078531810e+02 -1.77879357475452196e+02 -2.45699965815832019e-02 -1.72333117776497964e-02 2.12495465793152576e+01 -8.57528137283591718e+01
101 -2.55158623246179218e+02 -1.09452494731758293e+02 -2.47243255815456676e-02 -1.06057129523288649e-02 1.77849368438281417e+01 -8.60405063191982720e+01
102 -2.57753230890186217e+02 -1.33724812961431695e+02 -2.49741719561633949e-02 -1.29568365144079305e-02 1.92519902471929214e+01 -8.59519441270504245e+01
103 -2.37636510277485627e+02 -1.39715496270474546e+02 -2.30266886609216022e-02 -1.35382615658246191e-02 1.84233748173077849e+01 -8.58517485524453861e+01
104 -2.58777310900299256e+02 -1.40221176438455615e+02 -2.50728953650557265e-02 -1.35860090383308381e-02 1.96527758546041014e+01 -8.59290296916776413e+01
105 -2.59722549354848127e+02 -1.17015659075405068e+02 -2.51656741561366304e-02 -1.13381681905250688e-02 1.84673244584445300e+01 -8.60274627066531821e+01
106 -2.62952635705798627e+02 -1.09422578682112388e+02 -2.54786584657960696e-02 -1.06024436804181450e-02 1.82376466746197963e+01 -8.60704334943698655e+01
107 -2.65021476976130373e+02 -1.22695002000419976e+02 -2.56781892007261411e-02 -1.18880383254147334e-02 1.90866512558950703e+01 -8.60243250233498031e+01
