# ra 5.30091384730315553e+01 dec -2.74389488088151232e+01 rotSkyPos 2.56750753181930804e+02 MJD(TAI) 5.95801395550000016e+04
# id xmm ymm xpup ypup ra_obs dec_obs
118 -2.05691062503690546e+02 -1.33303720500774375e+02 -1.99339639482467232e-02 -1.29187507045033460e-02 5.24982127984330873e+01 -2.61568875762039319e+01
119 -2.05690460557085544e+02 -1.26303720526655781e+02 -1.99342198845381957e-02 -1.22405586063377893e-02 5.25403045620588429e+01 -2.61659167788159408e+01
120 -2.05689858610480570e+02 -1.19303720552537186e+02 -1.99344589007644304e-02 -1.15623353048561871e-02 5.25824052238985331e+01 -2.61749352481748119e+01
121 -2.12691664424414114e+02 -1.40303118528287996e+02 -2.06115413998303430e-02 -1.35965062095736982e-02 5.24662516002446395e+01 -2.61101078541405549e+01
122 -2.12691062477809112e+02 -1.33303118554169401e+02 -2.06118254716787380e-02 -1.29183642343020846e-02 5.25083201151317951e+01 -2.61191434956290038e+01
123 -2.12690460531204138e+02 -1.26303118580050807e+02 -2.06120920551785929e-02 -1.22401893367765791e-02 5.25503976510901154e+01 -2.61281684960299678e+01
124 -2.12689858584599165e+02 -1.19303118605932212e+02 -2.06123411455157966e-02 -1.15619832407348813e-02 5.25924840596336693e+01 -2.61371828155144108e+01
125 -2.19691664398532680e+02 -1.40302516581682994e+02 -2.12893392360967819e-02 -1.35960910458899197e-02 5.24763662357987357e+01 -2.60723714504780482e+01
126 -2.19691062451927706e+02 -1.33302516607564428e+02 -2.12896345229197231e-02 -1.29179668389171696e-02 5.25184205205236552e+01 -2.60814028321952840e+01
127 -2.19690460505322733e+02 -1.26302516633445819e+02 -2.12899117487246568e-02 -1.22398097149181428e-02 5.25604838005954562e+01 -2.60904236251081905e+01
128 -2.19689858558717759e+02 -1.19302516659327239e+02 -2.12901709085357195e-02 -1.15616213973601979e-02 5.26025559276456249e+01 -2.60994337894389581e+01
129 -1.98687501397970095e+02 -9.80941406147506143e+01 -1.92570680729061729e-02 -9.50742009477392215e-03 5.26999808356697486e+01 -2.62399663298592891e+01
130 -1.98688817446031521e+02 -9.10941407384636506e+01 -1.92574168612959888e-02 -8.82907183389246980e-03 5.27421329232766922e+01 -2.62489347257982892e+01
131 -1.98690133494092947e+02 -8.40941408621766868e+01 -1.92577492881512678e-02 -8.15070105821043278e-03 5.27842931762616487e+01 -2.62578921353255410e+01
132 -1.98691449542154373e+02 -7.70941409858897089e+01 -1.92580653500132939e-02 -7.47230949610849793e-03 5.28264614448917982e+01 -2.62668385194211780e+01
133 -2.05687501274257073e+02 -9.80954566628120261e+01 -1.99350280504318189e-02 -9.50731409579247400e-03 5.27100118193753531e+01 -2.62021959246329530e+01
134 -2.05688817322318499e+02 -9.10954567865250624e+01 -1.99353845962778192e-02 -8.82898248749828217e-03 5.27521495755997236e+01 -2.62111603912942854e+01
135 -2.05690133370379897e+02 -8.40954569102380987e+01 -1.99357242065503655e-02 -8.15062836761118632e-03 5.27942954721707807e+01 -2.62201139241326828e+01
136 -2.05691449418441323e+02 -7.70954570339511349e+01 -1.99360468776813432e-02 -7.47225346425761314e-03 5.28364493594754236e+01 -2.62290564841738245e+01
137 -2.12687501150544023e+02 -9.80967727108734522e+01 -2.06129372443690298e-02 -9.50720004149709953e-03 5.27200357761699649e+01 -2.61644287805475599e+01
138 -2.12688817198605449e+02 -9.10967728345864884e+01 -2.06133015440697065e-02 -8.82888565964182540e-03 5.27621591728369026e+01 -2.61733893126238613e+01
139 -2.12690133246666875e+02 -8.40967729582995247e+01 -2.06136483344162014e-02 -8.15054876951512401e-03 5.28042906848436004e+01 -2.61823389634651349e+01
140 -2.12691449294728301e+02 -7.70967730820125610e+01 -2.06139776117311019e-02 -7.47219109898044666e-03 5.28464301626972102e+01 -2.61912776941427197e+01
141 -2.19687501026831001e+02 -9.80980887589348640e+01 -2.12907939398758010e-02 -9.50707793524878039e-03 5.27300526878275804e+01 -2.61266650292041902e+01
142 -2.19688817074892427e+02 -9.10980888826479003e+01 -2.12911659897126633e-02 -8.82878135342157755e-03 5.27721616968422325e+01 -2.61356216214155346e+01
143 -2.19690133122953824e+02 -8.40980890063609365e+01 -2.12915199566814269e-02 -8.15046226675812668e-03 5.28142787962143032e+01 -2.61445673849780640e+01
144 -2.19691449171015250e+02 -7.70980891300739728e+01 -2.12918558369955095e-02 -7.47212240285018321e-03 5.28564038365717721e+01 -2.61535022810088975e+01
145 -2.83232327738297329e+02 -5.55563243866020073e+01 -2.74431279095205816e-02 -5.38299892706132609e-03 5.30759494930574220e+01 -2.58381410846251534e+01
146 -2.83229863752323411e+02 -4.85563248202610822e+01 -2.74430628084238112e-02 -4.70478025916757411e-03 5.31179668355982741e+01 -2.58470185449251382e+01
147 -2.83227399766349492e+02 -4.15563252539201642e+01 -2.74429744050006981e-02 -4.02654958965841837e-03 5.31599911555334117e+01 -2.58558854259103619e+01
148 -2.83224935780375574e+02 -3.45563256875792320e+01 -2.74428626975632035e-02 -3.34830864578916773e-03 5.32020223038369338e+01 -2.58647416898841414e+01
149 -2.90232327304638261e+02 -5.55538604006280963e+01 -2.81203983252219479e-02 -5.38257298033412591e-03 5.30858275569195044e+01 -2.58004001766241764e+01
150 -2.90229863318664343e+02 -4.85538608342871711e+01 -2.81203374868501076e-02 -4.70437789322386557e-03 5.31278300927229239e+01 -2.58092739571776342e+01
151 -2.90227399332690425e+02 -4.15538612679462460e+01 -2.81202527752842969e-02 -4.02617080720306299e-03 5.31698395819212237e+01 -2.58181372111978682e+01
152 -2.90224935346716507e+02 -3.45538617016053209e+01 -2.81201441887805915e-02 -3.34795344916705541e-03 5.32118558756177791e+01 -2.58269899010296413e+01
153 -2.97232326870979193e+02 -5.55513964146541781e+01 -2.87975973264725134e-02 -5.38214252034190186e-03 5.30956981978040119e+01 -2.57626640770219169e+01
154 -2.97229862885005275e+02 -4.85513968483132530e+01 -2.87975407483257312e-02 -4.70397158467339600e-03 5.31376858998405126e+01 -2.57715341727822356e+01
155 -2.97227398899031357e+02 -4.15513972819723350e+01 -2.87974597264796933e-02 -4.02578865285913457e-03 5.31796805313023953e+01 -2.57803937947812010e+01
156 -2.97224934913057439e+02 -3.45513977156314098e+01 -2.87973542591346381e-02 -3.34759545142584210e-03 5.32216819434228796e+01 -2.57892429054051071e+01
157 -3.04232326437320069e+02 -5.55489324286802670e+01 -2.94747232167902641e-02 -5.38170755059739180e-03 5.31055613988502699e+01 -2.57249329160966589e+01
158 -3.04229862451346207e+02 -4.85489328623393419e+01 -2.94746708963053855e-02 -4.70356133666241776e-03 5.31475342401759718e+01 -2.57337993220407171e+01
159 -3.04227398465372289e+02 -4.15489332959984239e+01 -2.94745935619867595e-02 -4.02540312940631844e-03 5.31895139869876985e+01 -2.57426553069848332e+01
160 -3.04224934479398371e+02 -3.45489337296574917e+01 -2.94744912119788600e-02 -3.34723465497857890e-03 5.32315004906490117e+01 -2.57515008333569426e+01
161 -2.83243956770623470e+02 -1.33059162031580840e+01 -2.74449450657052278e-02 -1.28927777809671241e-03 5.33296966387043554e+01 -2.58914188893105504e+01
162 -2.83243074803394904e+02 -6.30591625871995376e+00 -2.74448923786579230e-02 -6.11012972477885299e-04 5.33717559800511339e+01 -2.59002233767421828e+01
163 -2.83242192836166339e+02 6.94083685718176469e-01 -2.74448163824504397e-02 6.72533958230162515e-05 5.34138213907140766e+01 -2.59090170582465333e+01
164 -2.83241310868937717e+02 7.69408363015630670e+00 -2.74447170771559730e-02 7.45519598641197312e-04 5.34558927209890484e+01 -2.59177998970476899e+01
165 -2.90243956715061586e+02 -1.33050342359295044e+01 -2.81222322926610729e-02 -1.28914747331654333e-03 5.33394754405153506e+01 -2.58536546007606702e+01
166 -2.90243074747833020e+02 -6.30503429149137595e+00 -2.81221804114834030e-02 -6.10906261932210766e-04 5.33815198290411743e+01 -2.58624557311048164e+01
167 -2.90242192780604455e+02 6.94965652946752499e-01 -2.81221046500732541e-02 6.73365117357295907e-05 5.34235702636935201e+01 -2.58712461085453675e+01
168 -2.90241310813375890e+02 7.69496559738488273e+00 -2.81220050085002754e-02 7.45579119882896482e-04 5.34656265949005913e+01 -2.58800256963422939e+01
169 -2.97243956659499702e+02 -1.33041522687009266e+01 -2.87994480886626797e-02 -1.28901608945081615e-03 5.33492466633734992e+01 -2.58158950920308570e+01
170 -2.97243074692271136e+02 -6.30415232426279637e+00 -2.87993970129167762e-02 -6.10799043188161141e-04 5.33912760722446791e+01 -2.58246928601896748e+01
171 -2.97242192725042571e+02 6.95847620175332082e-01 -2.87993214862287024e-02 6.74195649518507628e-05 5.34333115040858004e+01 -2.58334799284595498e+01
172 -2.97241310757814006e+02 7.69584756461346231e+00 -2.87992215086645235e-02 7.45638007533894263e-04 5.34753528094579167e+01 -2.58422562601363950e+01
